id,Symbol,Definition,GAMS,Unit
70,"$\mu_j(t,n)$",Capacity factor of maximum production,"mu(jel,t,n)",TWh/TW
71,"$EL_{elback}(t,n)$",Electric backstop capacity,"Q_EN('elback',t,n)",TWh
72,"$KEL_j(t,n)$      ",Total electric capacity,"Q_EN('el',t,n)",TWh
73,"$Q_j(t,n)$      ",Production capacity,"Q_EN(jfed,t,n)",TWh
74,"$Q_{j,f}(t,n)$  ",Amount of fuel consumed per sector,"Q_IN(f,jfed,t,n)",TWh
75,"$\xi_{j,f}(t,n)$",Sector efficiency ratio,"csi(f,jfed,t,n)",TWh/TWh
76,"$Q_j(t,n)$",Production capacity,"Q_EN(j,t,n)",TWh
77,"$I_{PRADA}(t,n)$",Investment in proactive adaptation,"I('PRADA',t,n)",T$
78,"$I_{SCAP}(t,n)$ ",Investment in specific ad. capacity,"I('SCAP',t,n)",T$
79,"$I_{RADA}(t,n)$ ",Investment in active adaptation,"I('RADA',t,n)",T$
80,"$I_{RADA}(t,n)$ ",Investment in active adaptation,"I('RADA',t,n)",T$
81,"$NEL_{nelback}(t,n)$",Non-electric backstop capacity,"Q_PES('backnel',t,n)",TWh
82,"$Q_{CCS}(t,n)$",CCS emissions,"Q_EMI('ccs',t,n)",GtC-eq
83,"$M_{CCS}(t)$",CCS cumulated emissions,"CUM_EMI('ccs',t,n)",GtC-eq
84,"$C_{CCS}(n,t)$",CCS costs,"MCOST_EMI('ccs',t,n)",T$
85,"$Q_E(\text{ghg},t,n)$",Regional emissions,"Q_EMI(ghg,t,n)",GtC-eq
86,"$WE(\text{ghg},t)$   ",World emission,"W_EMI(ghg,t,n)",GtC for CO2/Gt
87,"$M(\text{ghg},t)$    ",Concentrations,"WCUM_EMI(ghg,t,n)",GtC for CO2/Gt
88,"$TRF(t)$             ",Total radiative forcing,"TRF(t,n)",W/m2
89,"$RF(\text{ghg},t)$   ",Gas radiative forcing,"RF(t,n)",W/m2
90,"$T(t)$               ",Global temperature increase,"TEMP('atm',t,n)",C
91,"$T^o(t)$             ",Ocean temperature increase,"TEMP('low',t,n)",C
92,"$Q_{CO2}(t,n)$",CO2 emissions,"Q_EMI('co2',t,n)",GtC-eq
93,"$Q_{CO2ind}(t,n)$",CO2 emissions from fossil-fuel,"Q_EMI('co2ind',t,n)",GtC-eq
94,"$Q_{CO2lu}(t,n)$",CO2 emissions from land-use change,"Q_EMI('co2lu',t,n)",GtC-eq
95,"$Q_{redd}(t,n)$",Avoided emissions from REDD,"Q_EMI('redd',t,n)",GtC-eq
96,"$Q_{CCS}(t,n)$",CCS emissions,"Q_EMI('ccs',t,n)",GtC-eq
97,"$EX_f(t,n)$",CO2 emissions from extraction,"Q_EMI_OUT('co2',t,n)",GtC-eq
98,"$Q_{oghg}(t,n)$",other ghg emissions,"Q_EMI(oghg,t,n)",GtC-eq
99,"$ABAT(oghg,t,n)$",level of abatment,"ABAT(oghg,t,n)","[0-1]"
100,"$Q_{nip}(t,n)$",net import of carbon permits,"Q_EMI('nip',t,n)",GtC-eq
101,"$C_{CO2}(t,n)$",CO2 costs,"COST_EMI('co2',t,n)",T$
102,"$Q_{nip}(t,n)$",net import of carbon permits,"Q_EMI('nip',t,n)",GtC-eq
103,"$p_{nip}(t,n)$",carbon permits price,"CPRICE('nip',t,n)",T$/GtC-eq
104,"$C_{e}(n,t)$            ",Non-CO2 emission costs,"COST_EMI(oghg,t,n)",T$
105,"$ref_e(n,t)$            ",Baseline emissions,"emi_baseline(oghg,t,n)",GtC-eq
106,"$\overline{abat}_e(n,t)$",Maximum abatement,"emi_abat_max(oghg,t,n)","[0,1]"
107,"$ABAT_e(n,t)$           ",Non-CO2 emission abatment,"ABAT(t,n)","[0,1]"
108,"$C_{e}(n,t)$",Emission sink costs,"COST_EMI(e,t,n)",T$
109,"$Q_{e}(t,n)$",Emission sink,"Q_EMI(e,t,n)",GtC-eq
110,"$M_{SAV}(t,n)$",Accumulated emission savings,"CUM_EMI('sav',t,n)",GtC-eq
111,"$Q_{SAV}(t,n)$",Emission savings,"Q_EMI('sav',t,n)",GtC-eq
112,"$\Omega(t,n)$   ",Damage coefficient,"OMEGA(t,n)",unitless
113,"$\omega_{i,n}^-$",coefficients with negative impact,"comega_neg(n,i)  ",unitless
114,"$\omega_{i,n}^+$",coefficients with positive impact,"comega_pos(n,i)  ",unitless
115,"$T(t,n)$        ",atmospheric temperature increase from pre-industrial levels,"TEMP('atm',t,n) ",C
116,"$Q(ADA,t,n)$    ",Adaptation factor,"Q('ADA',t,n) ",
117,"$HE(n,t)$    ",R&D Capital in energy efficiency,"K_RD('en',t,n)",T$
118,"$RD_{j}(n,t)$",R&D Capital in backstop technologies,"K_RD(rd,t,n)",T$
119,"$SPILL(n,t)$ ",Spillover knowledge,"SPILL(rd,t,n)",T$
120,"$wcum_{j}(t)$",Cumulated Installed Capacity,"wcum(jrd,t)",T$
121,"$\delta_{RD}$",Depreciation rate for R&D knowledge,"delta_RD('en')",
122,"$a$",Internal spillover,"crda('en',t,n)",
123,"$b$",Elasticity w.r.t. R&D Investment,"crdb('en')",
124,"$c$",Elasticity w.r.t. own past knowledge,"crdc('en',t,n)",
125,"$d$",Elasticity w.r.t. spillover knowledge,"crdd('en')",
126,"$lbrrate$",Learning by Searching Coefficient,"lbr_rate('jrd')",
127,"$lbdrate$",Learning by Doing Coefficient,"lbd_rate('jrd')",
128,$kpat0$,knowledge stock in 2005,kpat0,
129,$pat0$,annual flow of patents in 2005,pat0,
130,$enintg0$,5 years decline in energy intensity (2005-2010),enintg0,
131,$peng0$,5 years growth in energy price (2005-2010),peng0,
132,$gdpg0$,5 years growth in gdp (2005-2010),gdpg0,
133,"$OIL_{cap}(t,n,g)$    ",Oil extraction capacity (by category),"OILCAP(t,n,oilg)",TWh
134,"$\Delta CAP(t,n,g)$   ",Additional oil capacity (by category),"ADDOILCAP(t,n,oilg)",TWh
135,"$I_{OILCAP}(t,n,g)$   ",Oil investment (by category),"I_OIL(t,n,oilg)",T$
136,"$OIL_{capcost}(t,n,g)$",Oil Investment cost (by category),"COST_OIL(t,n,oilg)",T$/TWh
137,"$OIL_{prod}(t,n,g)$   ",Oil production (by category),"OILPROD(t,n,oilg)",TWh
138,,Cumulative production (by category),"CUM_OIL(t,n,oilg)",TWh
139,,Total Oil investment (all categories),"I_OUT(t,n)",T$
140,,Total oil production (all categories),"Q_OUT(oil,t,n)",TWh
141,,Emissions from oil extraction (all categories),"Q_EMI_OUT(t,n)",GtC-eq
142,"$\lambda(g)$",Fixed floor cost component (by categories),"data_oilcost(n,oilg)",T$/TWh 
143,"$\zeta(n,g)$",Annual Expansion threshold,"esp_cap(n,oilg)",TWh        
144,"$\mu(g)$",Fixed floor cost difference (among categories),"cum_param_oil(n,oilg)",T$/TWh 
145,"$OIL_{res}(t,n,g)$",Oil resources,"resmax_oil(n,oilg)",TWh        
146,,Stoichiometric coefficient for oil extraction,"emi_st_oil(n,oilg)",GtC/TWh
147,"$K_{EN}(jveh,t,n)$        ",Number of ldvs per type,"K_EN(jveh,t,n)",million vehicles
148,"$ldv\_total(t,n)$         ",Total number of ldvs,"ldv_total(t,n)",million vehicles
149,"$ldv\_pthc (t,n)$         ",Number of ldvs per thousand capita,"ldv_pthc(t,n)",vehicles per thousand capita
150,"$Q_{EN}(jveh,t,n)$        ",Energy used by ldvs,"Q_EN(jveh,t,n)",TWh
151,"$fuel\_cons(jveh,t,n)$    ",Fuel consumption per ldv,"fuel_cons(jveh,t,n)",TWh/million vehicles
152,"$travel\_intensity(t,n)$  ",Travel Intensity,"travel_intensity(t,n)",km/$
153,"$km\_demand\_ldv(t,n)$    ",Kilometre Demand,"km_demand_ldv(t,n)",million km per year
154,"$km\_demand\_pv\_ldv(t,n)$",Kilometre Demand per vehicle,"km_demand_pv_ldv(t,n)",km/vehicle per year
155,"$km\_dev(t,n)$            ",Kilometre Deviation,"km_demand_pv_deviation_ldv(t,n)",unitless
156,"$veh\_cost(jveh,t,n)$     ",Vehicle cost,"MCOST_INV(jveh,t,n)",T$/million vehicles
157,"$fueleff\_rate(t,n)$      ",Fuel efficiency improvement rate,"fueleff_rate(t,n)",unitless  
158,"$K_{EN}(jel_{solar},t,n)$ ",Electric capacity,"K_EN(jel_solar,t,n)",TW
159,"$dens(jel_{solar},n)$     ",Installation density,"inst_density(n,jel_solar)",MW/km^2^
160,"$area(solar_{distance},n)$",Competition area,"inst_area(n,solar_distance)",km^2^
161,"$K_{EN}(jel,t,n)$    ",Electric capacity,"K_EN(jel,t,n)",TW
162,"$Q_{EN}(jel,t,n)$    ",Electric energy generation,"Q_EN(jel,t,n)",TWh
163,"$SHARE_{EL}(jel,t,n)$",Share in the electricity mix,"SHARE_EL(jel,t,n)",unitless
164,"$c(n)$               ",Peak load fraction,"firm_coeff(n)",unitless
165,"$cf$                 ",Capacity factor,"cap_factor",unitless
166,"$cv(SHARE_{EL})$     ",Capacity value,"cap_value(jel,t,n)",unitless
167,"$f(jel)$             ",Flexibility coefficient,"flex_coeff(jel)",unitless
168,"$K_{EN\_GRID}(t,n)$         ",Capital of the electrical grid,"K_EN_GRID(t,n)",TW
169,"$I_{EN\_GRID}(t,n)$         ",Investments in the electrical grid,"I_EN_GRID(t,n)",T$
170,"$delta\_grid(t,n)$          ",Grid depreciation rate,"grid_delta(t,n)",unitless
171,"$grid\_cost$                ",Grid specific investment cost,"grid_cost",T$/TW
172,"$transm\_cost(jel,distance)$",Distance-dependant transmission cost,"transm_cost(jel,distance)",T$/TW
173,"$tfpy(t,n)$",Total factor productivity,"tfpy(t,n)",unitless
174,"$tfpn(t,n)$",Factor Productivity of energy,"tfpn(t,n)",unitless
175,"$Y_{kali}(n,t)$",Calibration GDP,"ykali(t,n)",T$
176,"$TPES_{kali}(n,t)$",Calibration Energy demand,"tpes_kali(t,n)",EJ 
177,"$\varepsilon_{Y,E}(n,t)$",Investment in extraction,"income_ela(t,n)",unitless
